Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Brunei Darussalam,BRN,18366.774,9649.3964,12998.2302,13738.0621,13549.7996975112,14123.5980784977,14494.4915224535,14828.9670065495,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bulgaria,BGR,108086.0268,66195.088,72526.719,71720.335,65132.8579,67945.3135,72946.6230665323,67942.6956330647,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Burkina Faso,BFA,12151.01,46470.1,43631.841,40706.298,43473.0978945734,43405.9091881049,43660.150208767,43910.4023930555,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Burundi,BDI,2798.9396,3398.8732,5477.675,5724.9553,5925.87668691856,6040.9823701579,6151.9955362651,6254.37102422528,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cabo Verde,CPV,208.23803,333.35502,..,369.11656,376.400422517821,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cambodia,KHM,19521.916,42118.313,197112.044,120478.859,87674.9467919816,126272.197590116,126838.759921248,127399.586925028,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cameroon,CMR,97554.79,163101.039,120331.649,120917.192,116739.191913519,99823.2841036055,100386.545956658,100922.136209962,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Canada,CAN,608685,760643,892066.85,908926,749863.654006812,764137.675301163,1033481.98200961,1027063.85487082,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cayman Islands,CYM,297.396063,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Central African Republic,CAF,146226.244,499622.058,695449.724,603473.098,428273.612164627,511442.689268757,513289.515718343,515134.078641482,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chad,TCD,18338.288,129247.645,128596.504,119558.378,102031.53812638,109130.415140564,109463.638704445,109796.019972251,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,54730.277,90384.583,113127.232,111021.043,110404.531907509,114284.996586273,117661.680608773,120687.892409947,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,China,CHN,3892675.1604,5082325.6,9124046.5,10022024.8,10617264.9,11183810.6,12064260.00255,12454710.6051,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Colombia,COL,174396.943,164520.425,177034.101,167450.086,171912.029047431,166695.866929375,170199.57902723,173411.767914881,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Comoros,COM,294.3718926,365.90311,513.65354,579.093,531.670002296986,543.622185158965,554.335660086527,564.2206617218,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Congo, Dem. Rep.",COD,1376921.73,861822.71,895387.99,754085.86,731884.62677823,799228.673149844,800756.941604716,802271.302846335,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Congo, Rep.",COG,63552.840401,28435.401,34160.312,31049.211,34611.2805484124,35247.1649100242,35504.4557838841,35743.9185202452,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Costa Rica,CRI,8593.78662,9851.2703,11298.0278,10806.5413,11067.7508013063,11684.5675043084,11994.6875158322,12274.1340926836,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cote d'Ivoire,CIV,152200.604,29442.742,27859.552,29682.239,30685.2342736302,32525.2533486886,33027.4827204803,33502.160237923,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Croatia,HRV,34734.33116,27312.045,33301.0976,32938.0609,31461.0364,31172.6453,30453.5113317779,30421.0493635559,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cuba,CUB,57043.9724,46257.54,44012.986,48557.436,50545.3964985048,49782.5314025299,51170.7478479685,52418.4556499535,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cyprus,CYP,5130.35771,7952.74819,9077.2757,9165.95482,..,..,7652.33091598057,7431.19345348047,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Czech Republic,CZE,196206.7838,162021.192,149838.95488,144072.577,137877.28962,145706.917,144613.247371501,138957.424743003,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Denmark,DNK,72484.035,68553.546,67993.19979,65167.02911,63012.0156546705,63679.0897800674,58416.0447370069,53703.2239270284,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Djibouti,DJI,1821.59311,1969.1694,2432.43131,2518.567,2523.21548727578,2629.83257395005,2701.62250690939,2766.30381501414,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Dominica,DMA,130.666114,140.86978,195.278392,202.798108,203.107461505429,211.314184610682,217.382774399324,222.835577813651,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Dominican Republic,DOM,17001.1508,28492.2016,30393.1473,30646.076,30499.8469375531,31668.7077187034,32578.1585810517,33395.0844298818,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ecuador,ECU,30859.4911,39805.121,49801.889,47603.308,49448.3280129417,50320.6980317543,51593.6633841968,52746.5726940589,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Egypt, Arab Rep.",EGY,139101.6501,184459.7407,266252.2745,269736.626,266325.429884229,280255.576563894,288287.828043016,295499.745446082,..,..,..,..
